DokumentNr;Artikel;Bezeichnung;Klasse;KlasseBezeichnung;Gruppe;GruppeBezeichnung;Untergruppe;UntergruppeBezeichnung;Preis;Menge;Lagereinheit;Rechnungseinheit;Einkaufspreis;Rabatt;TotalExklMwSt;SteuerCode;Steuerbetrag;TotalInklMwSt;Waehrung;Ertragskonto;Kostenstelle;Gewicht;DokumentTyp;DokumentTypBezeichnung;DatumBelegbeiKasse;Adresse;Name;Land;Region;Sprache;Checkout;VoucherBon;VoucherKueche;VoucherGruppe
4089225;9810000018001;Glace Kübeli;2;Frischprodukte;30;Glace;FREMD;Fremd;3.90;2.00;STK;STK;0.00;0.00;7.22;10;0.58;7.80;CHF;3200;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:28:43;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089225;500131;Heidelbeeren 250g;4;Obst;19;Heidelbeeren;EIGEN;Eigen;6.00;1.00;SCH;SCH;0.00;0.00;5.85;11;0.15;6.00;CHF;3000;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:28:43;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089225;304012;Nussbrot;7;HofBäckerei;8;Brot;;;5.40;1.00;STK;STK;0.00;0.00;5.27;11;0.13;5.40;CHF;3221;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:28:43;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089226;305571;Prosecco 1dl;9;Getränke;36;Wein;FREMD;Fremd;7.00;2.00;DL;DL;0.00;0.00;12.96;10;1.04;14.00;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 16:30:38;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089279;305900;PET Flasche;12;Non-Food;44;Depot/Gebinde;FREMD;Fremd;0.50;2.00;FL;FL;0.00;0.00;0.93;10;0.07;1.00;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 18:01:34;1000001;Laufkunde;CH;ZH;D;0;0;;0
4089279;305307;Süssmost 1l, frisch gepresst;9;Getränke;40;Hoftee/Most;;;3.50;2.00;L;L;0.00;0.00;6.48;10;0.52;7.00;CHF;3210;400;0.00;RGKSJON;Rechnung Kasse Jona;17.08.2017 - 18:01:34;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169728;7640125570113;Mineral Passugger 5dl;9;Getränke;41;Getränke alkoholfrei;FREMD;Fremd;3.90;2.00;FL;FL;0.00;0.00;7.22;10;0.58;7.80;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:03:33;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169728;7640105561100;Apfelschorli 5dl;9;Getränke;41;Getränke alkoholfrei;EIGEN;Eigen;4.50;1.00;FL;FL;0.00;0.00;4.17;10;0.33;4.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:03:33;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169729;301503;Buffet - Znacht Salat/Warm L;6;HofChuchi;32;Kalte Küche;;;32.00;0.20;KG;KG;0.00;0.00;6.06;10;0.49;6.55;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:05:48;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169729;302101;Spezialwurst ;6;HofChuchi;31;Warme Küche;;;6.00;1.00; ; ;0.00;0.00;5.56;10;0.44;6.00;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:05:48;1000001;Laufkunde;CH;ZH;D;0;1;;2
2169730;305207;Kalter Kaffee;9;Getränke;39;Heissgetränke;;;6.00;2.00; ; ;0.00;0.00;11.11;10;0.89;12.00;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:07:35;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169731;301503;Buffet - Znacht Salat/Warm L;6;HofChuchi;32;Kalte Küche;;;32.00;0.55;KG;KG;0.00;0.00;16.44;10;1.31;17.75;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;1;0;;0
2169731;302127;Kalbsbratwurst gross;6;HofChuchi;31;Warme Küche;;;6.00;1.00; ; ;0.00;0.00;5.56;10;0.44;6.00;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;1;;2
2169731;7640105561100;Apfelschorli 5dl;9;Getränke;41;Getränke alkoholfrei;EIGEN;Eigen;4.50;1.00;FL;FL;0.00;0.00;4.17;10;0.33;4.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169731;7640125570113;Mineral Passugger 5dl;9;Getränke;41;Getränke alkoholfrei;FREMD;Fremd;3.90;1.00;FL;FL;0.00;0.00;3.61;10;0.29;3.90;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169731;304104;Wähen süss;7;HofBäckerei;27;Gebäck;;;5.00;2.00; ; ;0.00;0.00;9.26;10;0.74;10.00;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 18:08:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
